question_id,category,srs_file,similarity,gen_correct,expected_answer,generated_answer
q_ertms_01,direct,2007 - ertms.pdf,0.893969349472849,True,"The document is the ERTMS/ETCS Functional Requirements Specification (FRS), version 5.00, dated 21 June 2007.","The document specified is ERTMS/ETCS FRS v 5.00, dated 21 June 2007."
q_ertms_02,direct,2007 - ertms.pdf,0.7859169011554045,True,The filing number is ERA/ERTMS/003204.,ERA/ERTMS/003204
q_keepass_01,direct,2008 - keepass.pdf,0.41293372043022625,False,The SRS describes KeePass Password Safe requirements for version 1.10.,Release number 1.10.
q_keepass_02,direct,2008 - keepass.pdf,0.5757198889572617,False,Its core purpose is to solve password memorization issues by storing passwords and related account data in a secure encrypted database protected by a master password.,"KeePass Password Safe provides a very secure, encrypted database where users can keep all their passwords, usernames, email accounts, URLs, and notes without any risk for others to find them."
q_inventory_01,direct,2009 - inventory 2.0.pdf,0.8908644847565744,True,The purpose is to define requirements for the Inventory Management System proposed by Construction Junction staff.,The purpose of this document is to define the requirements of the Inventory Management System as proposed by the Construction Junction (CJ) staff.
q_inventory_02,direct,2009 - inventory 2.0.pdf,0.8677594635391768,True,"The scope is to create a categorized inventory management system providing functionality identified by the Construction Junction team, with requirements prioritized by sponsors.",The scope of the Inventory Management project is the creation of a categorized Inventory Management System that provides the functionality identified by the Construction Junction team.
q_gparted_01,direct,2010 - gparted.pdf,0.9100874793121672,True,"GParted is a graphical partition editor (the GNOME Partition Editor), a frontend to GNU Parted that uses the libparted library to detect devices, manipulate partition tables, and perform partition operations.","GParted is a graphical partition editor for creating, reorganizing, and deleting disk partitions, and it uses the GNU Parted library as its backend."
q_gparted_02,direct,2010 - gparted.pdf,0.757567186084667,True,"The document describes GParted as an install version on a Linux hard drive, and GParted Live distributed as a zip or iso file used to boot the computer from CD or USB.",GParted (install version) and GParted Live.
q_jdeco_01,direct,JDECo_SRS.docx[1].pdf,0.9216273042827037,True,"Customers can submit service requests through the JDECo-SMS mobile application or website, providing required details and supporting documents for the requested service.","The customer can request a service from JDECo-SMS by accessing it using a mobile application or JDECo portal, filling in the required data, uploading supporting documents, and submitting the request."
q_jdeco_02,direct,JDECo_SRS.docx[1].pdf,0.5536620942636751,False,"The SRS describes workflows involving customer service (CS), technical distribution (TD), finance (FD), and customers interacting with JDECo-SMS.","The main user roles or departments involved are Customer, Customer Services, Financial Department, Technical Department, and Inventory Department."
