question_id,category,srs_file,hit_at_k,precision_at_k,recall_at_k,mrr,relevant_files,retrieved_files_topk
q_ertms_01,direct,2007 - ertms.pdf,1.0,0.2,1.0,1.0,2007 - ertms.pdf,2007 - ertms.pdf
q_ertms_02,direct,2007 - ertms.pdf,1.0,0.2,1.0,1.0,2007 - ertms.pdf,2007 - ertms.pdf
q_keepass_01,direct,2008 - keepass.pdf,1.0,0.2,1.0,1.0,2008 - keepass.pdf,2008 - keepass.pdf
q_keepass_02,direct,2008 - keepass.pdf,1.0,0.2,1.0,1.0,2008 - keepass.pdf,2008 - keepass.pdf
q_inventory_01,direct,2009 - inventory 2.0.pdf,1.0,0.2,1.0,1.0,2009 - inventory 2.0.pdf,2009 - inventory 2.0.pdf
q_inventory_02,direct,2009 - inventory 2.0.pdf,1.0,0.2,1.0,1.0,2009 - inventory 2.0.pdf,2009 - inventory 2.0.pdf
q_gparted_01,direct,2010 - gparted.pdf,1.0,0.2,1.0,1.0,2010 - gparted.pdf,2010 - gparted.pdf
q_gparted_02,direct,2010 - gparted.pdf,1.0,0.2,1.0,1.0,2010 - gparted.pdf,2010 - gparted.pdf
q_jdeco_01,direct,JDECo_SRS.docx[1].pdf,1.0,0.2,1.0,1.0,JDECo_SRS.docx[1].pdf,JDECo_SRS.docx[1].pdf
q_jdeco_02,direct,JDECo_SRS.docx[1].pdf,1.0,0.2,1.0,1.0,JDECo_SRS.docx[1].pdf,JDECo_SRS.docx[1].pdf
